2026-01-26 06:59:30 | DEBUG    | yfinance             |    Exiting get()
2026-01-26 06:59:30 | DEBUG    | yfinance             | Got error from yahoo api for ticker 6088027.SZ, Error: {'code': 'Not Found', 'description': 'No data found, symbol may be delisted'}
2026-01-26 06:59:30 | DEBUG    | yfinance             |   Exiting _fetch_ticker_tz()
2026-01-26 06:59:30 | DEBUG    | yfinance             | get_raw_json(): https://query2.finance.yahoo.com/v10/finance/quoteSummary/6088027.SZ
2026-01-26 06:59:30 | DEBUG    | yfinance             |   Entering get()
2026-01-26 06:59:30 | DEBUG    | yfinance             |    Entering _make_request()
2026-01-26 06:59:30 | DEBUG    | yfinance             | url=https://query2.finance.yahoo.com/v10/finance/quoteSummary/6088027.SZ
2026-01-26 06:59:30 | DEBUG    | yfinance             | params={'modules': 'financialData,quoteType,defaultKeyStatistics,assetProfile,summaryDetail', 'corsDomain': 'finance.yahoo.com', 'formatted': 'false', 'symbol': '6088027.SZ'}
2026-01-26 06:59:30 | DEBUG    | data_provider.base   | 随机休眠 2.61 秒...
2026-01-26 06:59:30 | DEBUG    | yfinance             |     Entering _get_cookie_and_crumb()
2026-01-26 06:59:30 | DEBUG    | yfinance             | cookie_mode = 'csrf'
2026-01-26 06:59:30 | DEBUG    | yfinance             |      Entering _get_crumb_csrf()
2026-01-26 06:59:30 | DEBUG    | yfinance             | reusing crumb
2026-01-26 06:59:30 | DEBUG    | yfinance             |      Exiting _get_crumb_csrf()
2026-01-26 06:59:30 | DEBUG    | yfinance             |     Exiting _get_cookie_and_crumb()
2026-01-26 06:59:30 | DEBUG    | yfinance             | response code=404
2026-01-26 06:59:30 | DEBUG    | yfinance             | toggling cookie strategy csrf -> basic
2026-01-26 06:59:30 | DEBUG    | yfinance             |     Entering _get_cookie_and_crumb()
2026-01-26 06:59:30 | DEBUG    | yfinance             | cookie_mode = 'basic'
2026-01-26 06:59:30 | DEBUG    | yfinance             |      Entering _get_cookie_and_crumb_basic()
2026-01-26 06:59:30 | DEBUG    | yfinance             |       Entering _get_cookie_basic()
2026-01-26 06:59:30 | DEBUG    | yfinance             |        Entering _load_cookie_curlCffi()
2026-01-26 06:59:30 | DEBUG    | peewee               | ('SELECT "t1"."strategy", "t1"."fetch_date", "t1"."cookie_bytes" FROM "_cookieschema" AS "t1" WHERE ("t1"."strategy" = ?) LIMIT ? OFFSET ?', ['curlCffi', 1, 0])
2026-01-26 06:59:30 | DEBUG    | yfinance             |        Exiting _load_cookie_curlCffi()
2026-01-26 06:59:30 | DEBUG    | yfinance             | reusing persistent cookie
2026-01-26 06:59:30 | DEBUG    | yfinance             |       Exiting _get_cookie_basic()
2026-01-26 06:59:30 | DEBUG    | yfinance             |       Entering _get_crumb_basic()
2026-01-26 06:59:30 | DEBUG    | yfinance             |        Entering _get_cookie_basic()
2026-01-26 06:59:30 | DEBUG    | yfinance             | reusing cookie
2026-01-26 06:59:30 | DEBUG    | yfinance             |        Exiting _get_cookie_basic()
2026-01-26 06:59:30 | DEBUG    | yfinance             | crumb = 'BjE.FUYkUUa'
2026-01-26 06:59:30 | DEBUG    | yfinance             |       Exiting _get_crumb_basic()
2026-01-26 06:59:30 | DEBUG    | yfinance             |      Exiting _get_cookie_and_crumb_basic()
2026-01-26 06:59:30 | DEBUG    | yfinance             |     Exiting _get_cookie_and_crumb()
2026-01-26 06:59:31 | INFO     | data_provider.efinance_fetcher | [API返回] ef.stock.get_realtime_quotes 成功: 返回 5804 只股票, 耗时 3.97s
2026-01-26 06:59:31 | INFO     | data_provider.efinance_fetcher | [缓存更新] 实时行情(efinance) 缓存已刷新，TTL=600s
2026-01-26 06:59:31 | WARNING  | data_provider.efinance_fetcher | [API返回] 未找到股票 AAPL 的实时行情
2026-01-26 06:59:31 | DEBUG    | data_provider.akshare_fetcher | [API跳过] AAPL 是美股，Akshare 不支持美股实时行情
2026-01-26 06:59:31 | WARNING  | data_provider.base   | [实时行情] AAPL 无可用数据源
2026-01-26 06:59:31 | INFO     | src.core.pipeline    | [AAPL] 实时行情获取失败或已禁用，将使用历史数据进行分析
2026-01-26 06:59:31 | DEBUG    | data_provider.akshare_fetcher | [API跳过] AAPL 是美股，无筹码分布数据
2026-01-26 06:59:31 | DEBUG    | src.core.pipeline    | [AAPL] 筹码分布获取失败或已禁用
2026-01-26 06:59:31 | DEBUG    | yfinance             | response code=404
2026-01-26 06:59:31 | DEBUG    | yfinance             |    Exiting _make_request()
2026-01-26 06:59:31 | DEBUG    | yfinance             |   Exiting get()
2026-01-26 06:59:31 | ERROR    | yfinance             | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: 6088027.SZ"}}}
2026-01-26 06:59:31 | DEBUG    | yfinance             | get_raw_json(): https://query1.finance.yahoo.com/v7/finance/quote?
2026-01-26 06:59:31 | DEBUG    | yfinance             |   Entering get()
